src_ip,packet_count,avg_packet_size,most_used_protocol,label
103.180.115.15,20,532.4,TCP,0
103.43.89.4,204,729.3333333333334,TCP,0
103.43.90.115,114,259.4122807017544,TCP,0
103.43.90.116,38,690.8947368421053,TCP,0
103.43.90.21,22,252.1818181818182,TCP,0
103.43.91.17,114,503.7280701754386,TCP,0
104.17.126.52,765,1102.6588235294118,QUIC,0
104.18.141.67,3532,852.6132502831257,QUIC,0
104.18.24.18,24,472.7916666666667,TLSv1.3,0
104.18.26.193,82,465.2926829268293,QUIC,0
104.18.27.193,56,514.5178571428571,TLSv1.3,0
104.18.32.137,11,455.0,TCP,0
104.18.37.185,23,430.6521739130435,QUIC,0
104.208.16.88,1,54.0,TCP,0
104.208.16.92,18,328.8333333333333,TCP,0
104.208.16.95,155,543.7870967741935,TCP,0
104.21.13.187,13,360.38461538461536,TCP,0
104.21.77.211,2,66.0,TCP,0
104.215.41.138,29,618.8275862068965,TCP,0
104.22.5.65,2,66.0,TCP,0
104.26.13.201,14,341.92857142857144,TCP,0
104.26.9.169,12,461.8333333333333,TCP,0
108.174.10.31,7,66.0,TCP,0
129.227.213.243,48,533.4583333333334,TCP,0
13.107.246.72,9,111.44444444444444,TLSv1.3,0
13.107.5.93,28,590.8928571428571,TCP,0
13.107.6.158,115,248.66086956521738,TLSv1.3,0
13.126.122.242,16,426.9375,TLSv1.3,0
13.216.94.185,13,430.0,TLSv1.2,0
13.250.83.4,19,348.2631578947368,TLSv1.2,0
13.35.20.126,137,1242.065693430657,TCP,0
13.35.20.78,10,563.1,TCP,0
13.35.20.84,10,561.3,TCP,0
13.69.239.73,92,458.1847826086956,TCP,0
13.70.79.200,284,244.84154929577466,TCP,0
130.211.23.194,41,444.390243902439,TCP,0
139.99.123.108,12,723.0833333333334,TCP,0
139.99.123.206,12,707.0833333333334,TCP,0
139.99.69.240,28,785.9642857142857,TCP,0
141.226.229.48,14,403.7857142857143,TLSv1.2,0
142.250.182.164,26,400.8076923076923,TCP,0
142.250.183.98,235,343.4297872340426,QUIC,0
142.250.192.194,20,516.2,QUIC,0
142.250.192.2,37,742.1621621621622,QUIC,0
142.250.192.66,65,322.03076923076924,QUIC,0
142.250.192.99,35,126.62857142857143,TCP,0
142.250.194.162,28,595.0714285714286,QUIC,0
142.250.194.206,44,949.0227272727273,TCP,0
142.250.194.230,8,873.625,TCP,0
142.250.194.66,11,555.5454545454545,QUIC,0
142.250.71.102,38,547.921052631579,TCP,0
142.250.71.98,22,746.0,QUIC,0
142.250.77.196,28,474.85714285714283,TCP,0
142.250.77.226,39,648.974358974359,QUIC,0
142.251.220.10,21,659.5238095238095,TLSv1.3,0
142.251.220.34,25,634.72,QUIC,0
142.251.220.70,20,65.4,TCP,0
142.251.223.102,72,377.3888888888889,QUIC,0
142.251.223.110,8,64.5,TCP,0
143.204.98.38,6,66.0,TCP,0
146.75.122.172,5,97.0,TCP,0
148.113.35.213,1,54.0,TCP,0
15.197.193.217,45,293.02222222222224,TLSv1.2,0
15.197.196.10,11,397.54545454545456,TCP,0
15.206.16.193,45,481.53333333333336,TLSv1.3,0
15.207.92.215,15,446.3333333333333,TLSv1.3,0
150.171.27.11,7,61.42857142857143,TCP,0
150.171.28.11,11,635.4545454545455,TCP,0
157.90.33.68,85,693.1647058823529,TCP,0
162.247.243.29,104,409.02884615384613,TCP,0
165.22.102.33,73,269.3424657534247,TCP,0
172.240.108.84,11,59.45454545454545,TCP,0
172.240.253.132,40,276.175,TCP,0
172.241.48.108,6,549.5,TCP,0
172.241.48.116,67,421.0149253731343,TCP,0
172.241.48.242,27,427.037037037037,TCP,0
172.241.48.252,13,297.7692307692308,TCP,0
172.64.146.152,150,1031.0666666666666,QUIC,0
172.64.146.197,78,760.2307692307693,QUIC,0
172.64.150.63,17,394.8235294117647,TLSv1.3,0
18.139.40.15,19,429.63157894736844,TCP,0
18.155.107.32,1656,1248.7324879227053,QUIC,0
18.155.107.73,5,429.4,TCP,0
18.164.144.37,5,403.4,TCP,0
18.164.144.6,42,1224.857142857143,TCP,0
18.196.202.236,15,389.4,TLSv1.2,0
18.67.233.96,14,479.35714285714283,TCP,0
182.161.73.132,36,332.3888888888889,TLSv1.3,0
182.161.73.146,31,453.3225806451613,TCP,0
182.161.73.165,11,131.27272727272728,TCP,0
185.184.8.90,149,390.32214765100673,TCP,0
185.196.197.71,89,1148.1685393258426,TCP,0
185.196.197.72,8,527.625,TCP,0
185.84.60.20,18,559.3888888888889,TLSv1.3,0
192.168.29.1,1863,163.54589371980677,TCP,0
192.168.29.149,116,203.98275862068965,IGMPv3,0
192.168.29.237,1188,221.93013468013467,UDP,0
192.168.29.238,35010,281.6626392459297,TCP,1
192.168.29.56,57,46.0,IGMPv2,0
192.243.59.12,116,909.198275862069,TCP,0
192.243.59.20,74,706.8918918918919,TCP,0
192.243.61.225,4,60.0,TCP,0
192.243.61.227,63,411.7142857142857,TCP,0
198.8.71.130,19,769.578947368421,TCP,0
199.232.101.108,31,880.8709677419355,TLSv1.2,0
199.232.102.167,116,1299.6120689655172,TCP,0
199.232.102.214,211,894.3080568720379,QUIC,0
2.22.177.47,204,1397.4754901960785,TCP,0
20.119.144.5,58,504.01724137931035,TCP,0
20.189.173.16,86,539.2093023255813,TCP,0
20.189.173.17,51,470.29411764705884,TCP,0
20.189.173.2,141,499.9078014184397,TCP,0
20.189.173.23,30,521.6666666666666,TCP,0
20.189.173.5,154,315.2012987012987,TCP,0
