total_packets,outgoing_packets,incoming_packets,packet_ratio,unique_destinations,dest_diversity_ratio,protocol_diversity,tcp_packets,udp_packets,icmp_packets,avg_time_between_packets,std_time_between_packets,min_time_between_packets,rapid_packets,unique_ports,port_range,sequential_ports,common_ports,avg_packet_size,std_packet_size,small_packets,response_ratio,no_response_ratio,window_id,packet_position,is_scan,scan_score,rf_prediction,rf_probability,svm_prediction,svm_probability
1000,170,140,1.2142857142857142,8,0.047058823529411764,4,121,0,0,1,0,1,170,0,0,0,0,722.7176470588236,677.9153411347985,59,0.8235294117647058,0.17647058823529413,0,0,1,8,1,0.93,1,0.9786318207349944
1000,96,46,2.0869565217391304,3,0.03125,2,79,0,0,1,0,1,96,0,0,0,0,1229.2604166666667,532.6143711085945,13,0.4791666666666667,0.5208333333333334,1,1000,1,6,0,0.35,1,0.5550958781741802
1000,59,64,0.921875,6,0.1016949152542373,4,23,0,0,1,0,1,59,0,0,0,0,520.0847457627119,556.4556024714973,20,1.0847457627118644,0.0,2,2000,1,8,1,0.89,1,0.671557875834794
1000,143,207,0.6908212560386473,12,0.08391608391608392,5,44,0,0,1,0,1,143,0,0,0,0,338.16083916083915,495.4838387999823,96,1.4475524475524475,0.0,3,3000,1,8,1,0.99,1,0.9944520066087917
1000,190,212,0.8962264150943396,10,0.05263157894736842,6,135,0,0,1,0,1,190,0,0,0,0,599.7473684210527,653.6346724631031,87,1.1157894736842104,0.0,4,4000,1,8,1,1.0,1,0.9964861057792584
1000,211,245,0.8612244897959184,17,0.08056872037914692,4,185,0,0,1,0,1,211,0,0,0,0,310.09478672985784,518.3420827814546,164,1.161137440758294,0.0,5,5000,1,8,1,0.99,1,0.9999963980084121
1000,57,53,1.0754716981132075,7,0.12280701754385964,6,39,0,0,1,0,1,57,0,0,0,0,643.2631578947369,662.6759746425255,23,0.9298245614035088,0.07017543859649122,6,6000,1,8,1,0.95,1,0.9611946704324731
1000,9,8,1.125,5,0.5555555555555556,2,8,0,0,1,0,1,9,0,0,0,0,59.111111111111114,15.333333333333334,8,0.8888888888888888,0.1111111111111111,7,7000,0,3,0,0.0,0,0.0035943278189552574
1000,1,1,1.0,1,1.0,1,0,0,0,1,0,1,1,0,0,0,0,95.0,0.0,1,1.0,0.0,8,8000,0,1,0,0.0,0,0.020799441358802774
1000,13,7,1.8571428571428572,2,0.15384615384615385,3,1,0,0,1,0,1,13,1,0,0,0,151.0,89.78956880766644,5,0.5384615384615384,0.46153846153846156,9,9000,0,2,0,0.02,1,0.6952404046508439
1000,63,102,0.6176470588235294,8,0.12698412698412698,6,22,0,0,1,0,1,63,0,0,0,0,419.4920634920635,524.5073840316624,32,1.619047619047619,0.0,10,10000,1,8,1,0.9,1,0.9363197557012998
1000,26,25,1.04,7,0.2692307692307692,4,19,0,0,1,0,1,26,0,0,0,0,255.46153846153845,430.17170811379316,18,0.9615384615384616,0.038461538461538464,11,11000,1,8,0,0.49,0,0.20541179001286303
1000,5,7,0.7142857142857143,2,0.4,2,3,0,0,1,0,1,5,0,0,0,0,90.4,52.884780419322915,3,1.4,0.0,12,12000,0,1,0,0.0,0,0.0023324222486525
1000,9,8,1.125,4,0.4444444444444444,3,5,0,0,1,0,1,9,0,0,0,0,80.44444444444444,32.00433998347377,6,0.8888888888888888,0.1111111111111111,13,13000,0,3,0,0.0,0,0.0031700514647679135
1000,109,96,1.1354166666666667,6,0.05504587155963303,4,73,0,0,1,0,1,109,0,0,0,0,659.6146788990826,656.0968609082396,38,0.8807339449541285,0.11926605504587157,18,18000,1,8,1,0.92,1,0.9136417098733607
1000,85,57,1.4912280701754386,3,0.03529411764705882,3,65,0,0,1,0,1,85,0,0,0,0,1153.9882352941177,589.3566002352875,14,0.6705882352941176,0.32941176470588235,19,19000,0,5,0,0.18,1,0.5275395896034552
1000,5,2,2.5,1,0.2,2,4,0,0,1,0,1,5,0,0,0,0,446.2,622.854878763906,3,0.4,0.6,20,20000,0,2,0,0.01,0,0.06619709682204114
1000,23,25,0.92,5,0.21739130434782608,3,14,0,0,1,0,1,23,0,0,0,0,350.6521739130435,476.0224983888178,12,1.0869565217391304,0.0,21,21000,0,5,0,0.11,0,0.07265262066137554
1000,8,6,1.3333333333333333,3,0.375,4,3,0,0,1,0,1,8,0,0,0,0,256.25,494.71802935756097,5,0.75,0.25,22,22000,0,3,0,0.0,0,0.020819319384087327
1000,19,15,1.2666666666666666,6,0.3157894736842105,3,16,0,0,1,0,1,19,0,0,0,0,166.21052631578948,344.6922264776971,15,0.7894736842105263,0.21052631578947367,24,24000,1,6,0,0.33,0,0.030611712940266687
1000,8,8,1.0,4,0.5,1,8,0,0,1,0,1,8,0,0,0,0,55.5,4.242640687119285,8,1.0,0.0,27,27000,0,3,0,0.0,0,0.0035535036800897154
1000,7,3,2.3333333333333335,1,0.14285714285714285,2,5,0,0,1,0,1,7,0,0,0,0,609.1428571428571,643.4382717276068,3,0.42857142857142855,0.5714285714285714,28,28000,0,3,0,0.01,0,0.1341991823670817
1000,12,12,1.0,2,0.16666666666666666,3,5,0,0,1,0,1,12,0,0,0,0,505.9166666666667,496.4972687525963,3,1.0,0.0,29,29000,0,2,0,0.0,0,0.030455706613185494
1000,13,18,0.7222222222222222,3,0.23076923076923078,4,7,0,0,1,0,1,13,0,0,0,0,187.92307692307693,393.7324517864175,8,1.3846153846153846,0.0,30,30000,0,3,0,0.0,0,0.024439924815776826
1000,5,5,1.0,3,0.6,3,2,0,0,1,0,1,5,0,0,0,0,80.4,36.149688795340964,3,1.0,0.0,31,31000,0,2,0,0.0,0,0.003076200549011335
1000,3,2,1.5,1,0.3333333333333333,2,1,0,0,1,0,1,3,0,0,0,0,399.0,525.6662439228907,1,0.6666666666666666,0.3333333333333333,32,32000,0,1,0,0.02,0,0.005269542073072304
1000,77,84,0.9166666666666666,4,0.05194805194805195,4,25,0,0,1,0,1,77,0,0,0,0,469.1818181818182,562.800907287843,45,1.0909090909090908,0.0,33,33000,0,5,0,0.07,1,0.5791314209481935
1000,74,100,0.74,4,0.05405405405405406,4,23,0,0,1,0,1,74,0,0,0,0,308.0405405405405,450.2213288031708,47,1.3513513513513513,0.0,34,34000,0,5,0,0.12,0,0.37178731897119643
1000,120,122,0.9836065573770492,9,0.075,4,58,0,0,1,0,1,120,0,0,0,0,243.175,391.50033887103405,55,1.0166666666666666,0.0,35,35000,1,8,1,0.99,1,0.9218447785150617
1000,60,72,0.8333333333333334,6,0.1,4,30,0,0,1,0,1,60,0,0,0,0,487.5,559.0387785585212,25,1.2,0.0,36,36000,1,8,1,0.97,1,0.6760363572618545
